"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289.83935478779","296.451145515056","285.275076126895","281.448263275866","268.196852640209","249.64159270464","236.348933257252","218.855894941332","201.176150820081","201.113992938608","197.708711077747","187.274014084203","184.410331075281","183.603551158179","176.328440748027","176.686910165932","174.395101911436","182.865833972542","171.478312763832","169.836356931595","175.766310751071","171.627213046813","165.843925842653","173.806290853449","",
"Afghanistan","AFG","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.48","83.83","83.79","70.81","39.41","28.42","21.31","22.63","19.71","12.97","13.37","15.99","9.35","11.45","12.61","14.1","27.37","28.99","22.33","14.15","8.39","6.26","9.19","13.26","",
"Africa Western and Central","AFW","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403.944277887738","399.4480598928","389.931241929595","386.857465761052","384.654557069624","382.896955045058","377.177277860514","372.484994861368","372.687061010257","368.935010617327","359.123786481452","346.418741754489","329.430330937681","312.045064662857","299.731693280475","291.770407083076","285.397813875361","283.439187492691","283.002353226215","277.838090541576","284.640870777552","279.521780145698","276.880922029663","273.432786263266","",
"Angola","AGO","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","326.11","329.32","314.72","319.23","313.18","314.76","300.65","270.41","229.22","194.7","171.41","158.03","153.96","158.53","164.69","176.11","192.01","217.63","233.8","243.18","244.8","248.65","237.2","224.53","",
"Albania","ALB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.4509007012015","27.5795731968082","24.9702816501721","23.448790500606","20.659171016823","21.3318442476815","21.1924101195103","17.5098678789405","12.6354253398107","11.0807982141214","12.8234987083919","10.9203245010879","10.6797473713019","10.7018415959311","11.5684432311822","12.6286365824919","15.2963445393877","15.3121835473572","16.8021317904964","17.6213626151053","18.6437284082028","19.7955880218868","19.0035999621886","20.4060767931413","",
"United Arab Emirates","ARE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","",
"Argentina","ARG","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.36","1.14","0.66","0.65","0.6","1.18","0.87","1.64","0.52","0.45","0.26","0","0","0","0","0","0","0","0","0","0","0","0","0","",
